name,year,citationcount,affiliation
Rob Latham,2009,67,"Argonne National Laboratory, Argonne, IL"
Chaoli Wang,2010,59,Michigan Technological University
Hongfeng Yu,2010,59,Sandia National Laboratories
Kwan-Liu Ma,2010,59,"University of California, Davis"
Robert van Liere,2009,0,"Kruislaan 413, Amsterdam, Netherlands"
Robert S. Laramee,2009,0,"Kruislaan 413, Amsterdam, Netherlands"
Gerik Scheuermann,2009,0,"Kruislaan 413, Amsterdam, Netherlands"
Kwan-Liu Ma,2009,0,"University of California, Davis, CA"
Jun Xiao,2007,28,"HP Lab, Palo Alto, CA"
John Stasko,2007,28,"Georgia Inst. of Technology, Atlanta, GA"
Richard Catrambone,2007,28,"Georgia Inst. of Technology, Atlanta, GA"
Philip Fei Wu,2008,20,"University of Maryland, College Park, MD"
Yan Qu,2008,20,"University of Maryland, College Park, MD"
Ken Fleischmann,2008,20,"University of Maryland, College Park, MD"
Jennifer Golbeck,2008,20,"University of Maryland, College Park, MD"
Paul Jaeger,2008,20,"University of Maryland, College Park, MD"
Jennifer Preece,2008,20,"University of Maryland, College Park, MD"
Ben Shneiderman,2008,20,"University of Maryland, College Park, MD"
Ben Shneiderman,1997,412,"UNIV MARYLAND, DEPT COMP SCI, HUMAN COMP INTERACT LAB, COLLEGE PK, MD 20742 USA"
Catherine Plaisant,1998,67,"University of Maryland, College Park, MD"
Ben Shneiderman,1998,67,"University of Maryland, College Park, MD"
Stephan Greene,2000,206,"Univ. of Maryland, College Park"
Gary Marchionini,2000,206,"Univ. of Maryland, College Park"
Catherine Plaisant,2000,206,"Univ. of Maryland, College Park"
Ben Shneiderman,2000,206,"Univ. of Maryland, College Park"
Bill Kules,2008,149,"Department of Computer Science, Human-Computer Interaction Laboratory, and Institute for Advanced Computer Studies, University of Maryland at College Park, College Park, MD 20742, United States"
Ben Shneiderman,2008,149,"Department of Computer Science, Human-Computer Interaction Laboratory, and Institute for Advanced Computer Studies, University of Maryland at College Park, College Park, MD 20742, United States"
Miriah D. Meyer,2010,97,Harvard University
Bang Wong,2010,97,Broad Institute
Mark P. Styczynski,2010,97,Georgia Institute of Technology
Tamara Munzner,2010,97,University of British Columbia
Hanspeter Pfister,2010,97,Harvard University
Tamara Munzner,2013,0,University of British Columbia
Tricia Jones,1990,7,"University of Maryland, College Park, MD"
Ben Shneiderman,1990,7,"University of Maryland, College Park, MD"
Yubo Zhang,2013,38,UC Davis
Kwan-Liu Ma,2013,38,UC Davis
Jonathan Lazar,2006,162,"Department of Computer and Information Sciences, Center for Applied Information Technology, and Universal Usability Laboratory Towson University, Towson, MD 21252, USA"
Adam Jones,2006,162,"Department of Computer and Information Sciences, Center for Applied Information Technology, and Universal Usability Laboratory Towson University, Towson, MD 21252, USA"
Mary Hackley,2006,162,"Department of Computer and Information Sciences, Center for Applied Information Technology, and Universal Usability Laboratory Towson University, Towson, MD 21252, USA"
Ben Shneiderman,2006,162,"Human-Computer Interaction Laboratory, Department of Computer Science, Institute for Advanced Computer Studies and Institute for Systems Research University of Maryland, College Park, MD 20742, US ..."
Chunxia Xiao,2013,50,"Wuhan Univ, Sch Comp, Wuhan 430072, Peoples R China"
Ruiyun She,2013,50,"Wuhan Univ, Sch Comp, Wuhan 430072, Peoples R China"
Donglin Xiao,2013,50,"Wuhan Univ, Sch Comp, Wuhan 430072, Peoples R China"
Kwan-Liu Ma,2013,50,"Univ Calif Davis, Dept Comp Sci, Davis, CA USA"
Hyunmo Kang,2003,22,"University of Maryland College Park, MD"
Ben Shneiderman,2003,22,"University of Maryland College Park, MD"
Dugald Ralph Hutchings,2007,15,"Bowling Green State University, Bowling Green, OH"
John Stasko,2007,15,"Georgia Institute of Technology, Atlanta, GA"
Carlos D. Correa,2011,157,"University of California at Davis, Davis"
Kwan-Liu Ma,2011,157,"University of California at Davis, Davis"
Harry Hochheiser,2004,426,"University of Maryland, College Park, MD"
Ben Shneiderman,2004,426,"University of Maryland, College Park, MD"
Kwan-Liu Ma,2011,1,"University of California, Davis, USA"
Nan Cao,2010,184,"Hong Kong University of Science and Technology, Hong Kong"
Jimeng Sun,2010,184,"IBM Thomas J. Watson Research Center, USA"
Yu-Ru Lin,2010,184,"Arizona State Univ, Tempe, AZ 85287 USA"
David Gotz,2010,184,"IBM Thomas J. Watson Research Center, USA"
Shixia Liu,2010,184,"IBM China Research Laboratory, China"
Huamin Qu,2010,184,The Hong Kong University of Science and Technology
Derek L. Hansen,2012,77,"Brigham Young Univ, Provo, UT 84602 USA"
Dana Rotman,2012,77,"Univ Maryland, Human Comp Interact Lab, College Pk, MD 20742 USA"
Elizabeth Bonsignore,2012,77,"Univ Maryland, Human Comp Interact Lab, College Pk, MD 20742 USA"
Natasa Milic-Frayling,2012,77,"Microsoft Res, Cambridge, England"
Eduarda Mendes Rodrigues,2012,77,"Univ Porto, P-4100 Porto, Portugal"
Marc Smith,2012,77,"Connected Act, Cambridge, England"
Ben Shneiderman,2012,77,"Univ Maryland, Human Comp Interact Lab, College Pk, MD 20742 USA"
Daniel Archambault,2009,34,"University of British Columbia & INRIA Bordeaux Sud-Ouest, Canada"
Tamara Munzner,2009,34,"University of British Columbia, Canada"
David Auber,2009,34,"University of Bordeaux, France"
Chris North,2001,19,"University of Maryland, College Park, MD and Virginia Tech, Blacksburg, VA"
Ben Shneiderman,2001,19,"University of Maryland, College Park, MD"
Ehud Rivlin,1994,168,"Dept. of Computer Science, University of Maryland, College Park, MD"
Rodrigo Botafogo,1994,168,"Dept. of Computer Science, University of Maryland, College Park, MD"
Ben Shneiderman,1994,168,"Dept. of Computer Science, University of Maryland, College Park, MD"
Fan-Yin Tzeng,2003,193,University of California at Davis
Eric B. Lum,2003,193,University of California at Davis
Kwan-Liu Ma,2003,193,University of California at Davis
Andrew Sears,1990,8,"University of Maryland, College Park, MD"
Yoram Kochavy,1990,8,"University of Maryland, College Park, MD"
Ben Shneiderman,1990,8,"University of Maryland, College Park, MD"
Andrew Sears,1990,13,"Human-Computer Interaction Laboratory, Department of Computer Science, University of Maryland, College Park, Maryland"
Yoram Kochavy,1990,13,"Human-Computer Interaction Laboratory, Department of Computer Science, University of Maryland, College Park, Maryland"
Ben Shneiderman,1990,13,"Human-Computer Interaction Laboratory, Department of Computer Science, University of Maryland, College Park, Maryland"
Ben Shneiderman,1982,9,"University of Maryland, College Park, MD"
Glenn Thomas,1982,9,"Kent State University, Kent, OH"
Ming-Yuen Chan,2007,14,The Hong Kong University of Science and Technology
Yingcai Wu,2007,14,The Hong Kong University of Science and Technology
Huamin Qu,2007,14,The Hong Kong University of Science and Technology
Eduarda Mendes Rodrigues,2011,64,"University of Porto, Portugal"
Natasa Milic-Frayling,2011,64,"Microsoft Research, Cambridge, England"
Marc Smith,2011,64,"Connected Action, Cambridge, England"
Ben Shneiderman,2011,64,"University of Maryland, College Park, MD"
Derek L. Hansen,2011,64,"University of Maryland, College Park, MD"
T. J. Jankun-Kelly,2001,152,"Univ Calif Davis, Dept Comp Sci, Ctr Image Proc & Integrated Computing, Visualizat & Graph Res Grp, Davis, CA 95616 USA"
Kwan-Liu Ma,2001,152,"Univ Calif Davis, Dept Comp Sci, Ctr Image Proc & Integrated Computing, Visualizat & Graph Res Grp, Davis, CA 95616 USA"
Robert W. Taylor,1979,12,"IBM, San Jose, CA"
James P. Fry,1979,12,"University of Michigan, Ann Arbor, MI"
Ben Shneiderman,1979,12,"University of Maryland at College Park, College Park, MD"
Diane C. P. Smith,1979,12,"University of New Mexico, Albuquerque, NM"
Stanley Y. W. Su,1979,12,"University of Florida, Gainesville, FL"
Gregory J. Conti,2006,62,
Kulsoom Abdullah,2006,62,
Julian B. Grizzard,2006,62,
John Stasko,2006,62,Georgia Institute of Technology
John A. Copeland,2006,62,
Mustaque Ahamad,2006,62,
Henry L. Owen,2006,62,
Christopher P. Lee,2006,62,
Brett Wilson,2002,10,"Univ Calif Davis, Dept Comp Sci, 1 Shields Ave, Davis, CA 95616 USA"
Kwan-Liu Ma,2002,10,"Univ Calif Davis, Dept Comp Sci, 1 Shields Ave, Davis, CA 95616 USA"
Ji Qiang,2002,10,"Lawrence Livermore Natl Lab, Livermore, CA 94550 USA"
Robert Ryne,2002,10,"Lawrence Livermore Natl Lab, Livermore, CA 94550 USA"
Kwan-Liu Ma,2003,48,University of California at Davis
Aleksander Stompel,2003,48,University of California at Davis
Jacobo Bielak,2003,48,Carnegie Mellon University
Omar Ghattas,2003,48,Carnegie Mellon University
Eui Joong Kim,2003,48,Carnegie Mellon University
Ben Shneiderman,2011,27,University of Maryland
Brett Wilson,2002,33,University of California at Davis
Kwan-Liu Ma,2002,33,University of California at Davis
Patrick S. McCormick,2002,33,Los Alamos National Laboratory
Nathalie Henry Riche,2012,2,"Microsoft Research, Redmond, WA"
Kori Inkpen,2012,2,"Microsoft Research, Redmond, WA"
John Stasko,2012,2,"Georgia Institute of Technology, Atlanta, GA"
Tom Gross,2012,2,"University of Bamberg, Bamberg, Germany"
Mary Czerwinski,2012,2,"Microsoft Research, Redmond, WA"
Dugald Ralph Hutchings,2004,42,"Georgia Institute of Technology, Atlanta, GA"
John Stasko,2004,42,"Georgia Institute of Technology, Atlanta, GA"
Zachary Pousman,2007,501,School of Interactive Computing and the GVU Center at the Georgia Institute of Technology
John Stasko,2007,501,IEEE
Michael Mateas,2007,501,"University of California, Santa Cruz"
Ben Shneiderman,2011,25,"Dept of Computer Science & Human-Computer Interaction Lab, University of Maryland, College Park, MD"
Ben Shneiderman,1987,83,"University of Maryland, College Park, MD"
Harry Hochheiser,2001,32,"Univ. of Maryland, College Park"
Ben Shneiderman,2001,32,"Univ. of Maryland, College Park"
Carol A. Hert,2003,35,"Syracuse University, Syracuse, NY"
Elizabeth D. Liddy,2003,35,"Syracuse University, Syracuse, NY"
Ben Shneiderman,2003,35,University of Maryland/ Human-Computer Interaction Lab
Gary Marchionini,2003,35,"University of North Carolina, Chapel Hill"
Heidi Lam,2007,69,University of British Columbia
Daniel Russell,2007,69,"Google, Inc"
Diane Tang,2007,69,"Google, Inc"
Tamara Munzner,2007,69,University of British Columbia
Matthew O. Ward,2005,0,"Worcester Polytech Inst, Dept Comp Sci, 100 Inst Rd, Worcester, MA 01609 USA"
Tamara Munzner,2005,0,"Department of Computer Science, University of British Columbia, Vancouver, BC, Canada"
Ben Shneiderman,2011,17,University of Maryland
Lida Tang,2001,9,"Univ. of Maryland, College Park"
Ben Shneiderman,2001,9,"Univ. of Maryland, College Park"
Batya Friedman,1994,2,"Mathematics and Computer Science, Colby College, Watetville, ME"
Nancy Levenson,1994,2,"Department of Computer Science and Engineering, University of Washington"
Ben Shneiderman,1994,2,"Department of Computer Science, University of Maryland, College Park"
Lucy Suchman,1994,2,Xerox Palo Alto Research Center
Terry Winograd,1994,2,"Department of Computer Science, Stanford University"
Jim Miller,1997,5,"Apple Computer, Inc., Cupertino, CA"
Pattie Maes,1997,5,"MIT Media Laboratory, Cambridge, MA"
Ben Shneiderman,1997,5,"University of Maryland, College Park, MD"
Jishang Wei,2011,16,"University of California, Davis"
Hongfeng Yu,2011,16,"Sandia National Laboratories, Livermore, CA"
Kwan-Liu Ma,2011,16,"University of California, Davis"
Jackie H. Chen,2011,16,"Sandia National Laboratories, Livermore, CA"
Abbe Don,1992,87,"Kaleida Labs, Mountain View, CA"
Susan Brennan,1992,87,"Stony Brook University, Stony Brook, NY"
Brenda Laurel,1992,87,"Telepresence Research, Palo Alto, CA"
Ben Shneiderman,1992,87,"University of Maryland, College Park, MD"
Soon Tee Teoh,2004,84,"University of California, Davis"
Ke Zhang,2004,84,"University of California, Davis"
Shih-Ming Tseng,2004,84,"University of California, Davis"
Kwan-Liu Ma,2004,84,"University of California, Davis"
S. Felix Wu,2004,84,"University of California, Davis"
Kwan-Liu Ma,2010,2,"University of California, Davis"
Anna Tikhonova,2010,2,"University of California, Davis"
Carlos D. Correa,2010,2,"University of California, Davis"
J. F. Reisel,1987,53,
Ben Shneiderman,1987,53,"University of Maryland, College Park, MD"
Tarik Crnovrsanin,2014,26,"University of California, Davis, Davis, CA, USA"
Yang Wang,2014,26,"University of California, Davis, Davis, CA, USA"
Kwan-Liu Ma,2014,26,"University of California at Davis, Davis, CA, USA"
Ben Shneiderman,1992,1,"University of Maryland, College Park, MD"
Christos Faloutsos,1990,33,"University of Maryland, College Park, MD"
Raymond Lee,1990,33,"University of Maryland, College Park, MD"
Catherine Plaisant,1990,33,"University of Maryland, College Park, MD"
Ben Shneiderman,1990,33,"University of Maryland, College Park, MD"
Yingcai Wu,2011,133,"Univ Calif Davis, Visualizat & Interface Design Innovat VIDi Res Gr, Davis, CA 95616 USA"
Thomas Provan,2011,133,"Univ Calif Davis, Visualizat & Interface Design Innovat VIDi Res Gr, Davis, CA 95616 USA"
Furu Wei,2011,133,"Mircrosoft Res Asia, Beijing, Peoples R China"
Shixia Liu,2011,133,"Mircrosoft Res Asia, Beijing, Peoples R China"
Kwan-Liu Ma,2011,133,"Univ Calif Davis, Visualizat & Interface Design Innovat VIDi Res Gr, Davis, CA 95616 USA"
Wayne Citrin,1993,13,University of Colorado
Dan Halbert,1993,13,DEC
Carl Hewitt,1993,13,MIT
Norm Meyrowitz,1993,13,GO Corp.
Ben Shneiderman,1993,13,University of Maryland
Takayuki Dan Kimura,1993,13,Washington University
Keith Lau,2004,16,University of British Columbia
Ronald A. Rensink,2004,16,University of British Columbia
Tamara Munzner,2004,16,University of British Columbia
Hanchen Song,2012,5,"Natl Univ Def Technol, Changsha, Hunan, Peoples R China"
Chris W. Muelder,2012,5,"Univ Calif Davis, Davis, CA USA"
Kwan-Liu Ma,2012,5,"Univ Calif Davis, Davis, CA USA"
Derek L. Hansen,2010,37,"College of Information Studies & Center for the Advanced Study of Communities and Information, University of Maryland, College Park, Maryland"
Ben Shneiderman,2010,37,"Dept. of Computer Science & Human-Computer Interaction Lab, University of Maryland, College Park, Maryland"
Marc Smith,2010,37,"Connected Action Consulting Group, Silicon Valley, California"
Ben Shneiderman,1999,48,"Human-Computer Interaction Laboratory, Department of Computer Science and Institute for Systems Research, University of Maryland, College Park, MD"
Shixia Liu,2012,0,Microsoft Research Asia
Michelle X. Zhou,2012,0,IBM Research – Almaden
Giuseppe Carenini,2012,0,University of British Columbia
Huamin Qu,2012,0,Hong Kong University of Science and Technology
James Slack,2006,15,"University of British Columbia, Vancouver, BC, Canada"
Kristian Hildebrand,2006,15,Bauhaus University Weimar
Tamara Munzner,2006,15,"Computer Science Department, University of British Columbia, Vancouver, BC, Canada"
Lior Berry,2004,57,University of British Columbia
Tamara Munzner,2004,57,University of British Columbia
Petra Isenberg,2011,315,"IlNRIA, Team Aviz, Université Paris-Sud, Orsay, France"
Niklas Elmqvist,2011,315,"School of Electrical and Computer Engineering, Purdue University, West Lafayette, IN"
Jean Scholtz,2011,315,"Northwest National Laboratory, Richland, WA"
Daniel Cernea,2011,315,"Department of Computer Science, University of Kaiserslautern, Kaiserslautern, Germany"
Kwan-Liu Ma,2011,315,"Department of Computer Science, University of California-Davis, Davis, CA"
Hans Hagen,2011,315,"Department of Computer Science, University of Kaiserslautern, Kaiserslautern, Germany"
Ben Shneiderman,2002,6,"University of Maryland, MD"
Ben Shneiderman,1979,502,"UNIV MARYLAND,DEPT INFORMAT SYST MANAGEMENT,COLLEGE PK,MD 20742, USA"
Richard Mayer,1979,502,"UNIV CALIF SANTA BARBARA,DEPT PSYCHOL,SANTA BARBARA,CA 93106"
Eser Kandogan,1997,74,"Department of Computer Science, University of Maryland, College Park, MD"
Ben Shneiderman,1997,74,"Department of Computer Science, University of Maryland, College Park, MD"
Ben Shneiderman,2007,0,"Department of Computer Science, University of Maryland, College Park, MD"
Kenneth Moreland,2011,73,"Sandia National Laboratories, Albuquerque, NM"
Utkarsh Ayachit,2011,73,"Kitware, Inc., Clifton Park, NY"
Berk Geveci,2011,73,"Kitware, Inc., Clifton Park, NY"
Kwan-Liu Ma,2011,73,"University of California, Davis, CA"
Harsha P. Kumar,1997,143,"Department of Computer Science, University of Maryland, College Park, MD"
